건물명,주소,유형,층수,담당자,연락처
"개포현대200동아파트","서울특별시 강남구 언주로 105",residential,9,강남소방서,02-3445-0119
"청송빌딩(청동빌딩)","서울특별시 강남구 삼성로 40",commercial,6,강남소방서,02-3445-0119
"도선여객","서울특별시 강남구 양재대로 486",industrial,4,강남소방서,02-3445-0119
"개포고등학교","서울특별시 강남구 개포로 402",commercial,4,강남소방서,02-3445-0119
"영동교회","서울특별시 강남구 논현로6길 6",commercial,3,강남소방서,02-3445-0119
"개포우성8차아파트","서울특별시 강남구 개포로 411",residential,9,강남소방서,02-3445-0119
"개일초등학교","서울특별시 강남구 개포로 401",commercial,4,강남소방서,02-3445-0119
"대양빌딩","서울특별시 강남구 선릉로6길 6",commercial,4,강남소방서,02-3445-0119
"서경빌딩","서울특별시 강남구 선릉로 32",commercial,3,강남소방서,02-3445-0119
"석일빌딩","서울특별시 강남구 선릉로 42",commercial,4,강남소방서,02-3445-0119
"개포빌딩","서울특별시 강남구 선릉로 30",commercial,4,강남소방서,02-3445-0119
"경기여자고등학교","서울특별시 강남구 삼성로 29",commercial,5,강남소방서,02-3445-0119
"동진빌딩","서울특별시 강남구 개포로 225",commercial,4,강남소방서,02-3445-0119
"석주빌딩","서울특별시 강남구 선릉로12길 5",commercial,3,강남소방서,02-3445-0119
"양전초등학교","서울특별시 강남구 개포로 513",commercial,4,강남소방서,02-3445-0119
"반석빌딩","서울특별시 강남구 개포로 231",commercial,5,강남소방서,02-3445-0119
"영신빌딩","서울특별시 강남구 개포로 218",commercial,7,강남소방서,02-3445-0119
"풍전빌딩","서울특별시 강남구 개포로 220",commercial,7,강남소방서,02-3445-0119
"개포현대1차아파트상가","서울특별시 강남구 개포로 303",commercial,3,강남소방서,02-3445-0119
"개포7단지상가","서울특별시 강남구 개포로 516",commercial,2,강남소방서,02-3445-0119
"대일빌딩","서울특별시 강남구 논현로2길 8",commercial,5,강남소방서,02-3445-0119
"오생빌딩","서울특별시 강남구 개포로22길 10",commercial,4,강남소방서,02-3445-0119
"석인빌딩","서울특별시 강남구 개포로 202",commercial,5,강남소방서,02-3445-0119
"건우빌딩","서울특별시 강남구 개포로 245",commercial,6,강남소방서,02-3445-0119
"동산교회","서울특별시 강남구 개포로 257",commercial,5,강남소방서,02-3445-0119
"개포2차현대아파트(220동)","서울특별시 강남구 언주로 103",residential,9,강남소방서,02-3445-0119
"구룡중학교","서울특별시 강남구 선릉로 103",commercial,4,강남소방서,02-3445-0119
"동림빌딩","서울특별시 강남구 개포로 246",commercial,6,강남소방서,02-3445-0119
"덕흥빌딩","서울특별시 강남구 논현로 102",commercial,6,강남소방서,02-3445-0119
"천웅빌딩","서울특별시 강남구 개포로20길 8",commercial,5,강남소방서,02-3445-0119
"한영빌딩","서울특별시 강남구 논현로 50",commercial,5,강남소방서,02-3445-0119
"동흥빌딩","서울특별시 강남구 개포로15길 8",commercial,5,강남소방서,02-3445-0119
"양지빌딩(왓츠피데)","서울특별시 강남구 개포로15길 6",commercial,5,강남소방서,02-3445-0119
"오진양행","서울특별시 강남구 논현로2길 46",commercial,5,강남소방서,02-3445-0119
"전국여전도회관","서울특별시 강남구 논현로 100",commercial,5,강남소방서,02-3445-0119
"SH빌딩","서울특별시 강남구 개포로22길 100",commercial,6,강남소방서,02-3445-0119
"포이초등학교","서울특별시 강남구 개포로22길 87",commercial,5,강남소방서,02-3445-0119
"대한적십자사 남부혈액원","서울특별시 강남구 개포로31길 48",commercial,4,강남소방서,02-3445-0119
"대산빌딩","서울특별시 강남구 개포로28길 4",commercial,4,강남소방서,02-3445-0119
"케이엔에스빌딩(구.장원빌딩)","서울특별시 강남구 개포로25길 8",commercial,6,강남소방서,02-3445-0119
"세화빌딩","서울특별시 강남구 논현로2길 60",commercial,7,강남소방서,02-3445-0119
"유정빌딩","서울특별시 강남구 개포로22길 94",commercial,5,강남소방서,02-3445-0119
"희영빌딩","서울특별시 강남구 개포로 232",commercial,6,강남소방서,02-3445-0119
"선만빌딩","서울특별시 강남구 개포로20길 5",commercial,4,강남소방서,02-3445-0119
"용현빌딩","서울특별시 강남구 개포로25길 3-4",commercial,5,강남소방서,02-3445-0119
"둥지빌딩","서울특별시 강남구 논현로16길 30",commercial,6,강남소방서,02-3445-0119
"퍼시픽빌딩","서울특별시 강남구 논현로 26",commercial,6,강남소방서,02-3445-0119
"우성9차아파트상가","서울특별시 강남구 개포로 311",commercial,1,강남소방서,02-3445-0119
"삼봉빌딩","서울특별시 강남구 개포로 227",commercial,6,강남소방서,02-3445-0119
"제일빌딩","서울특별시 강남구 논현로8길 14",commercial,6,강남소방서,02-3445-0119
"준빌딩","서울특별시 강남구 개포로 224",commercial,6,강남소방서,02-3445-0119
"흥진(구.한성)빌딩","서울특별시 강남구 개포로 243",commercial,6,강남소방서,02-3445-0119
"경빌딩","서울특별시 강남구 선릉로 50",commercial,6,강남소방서,02-3445-0119
"유림빌딩","서울특별시 강남구 개포로 233",commercial,7,강남소방서,02-3445-0119
"형제빌딩","서울특별시 강남구 개포로25길 12",commercial,5,강남소방서,02-3445-0119
"큰사랑요양병원","서울특별시 강남구 논현로2길 30",commercial,6,강남소방서,02-3445-0119
"대경바스컴","서울특별시 강남구 논현로2길 40",commercial,5,강남소방서,02-3445-0119
"해영빌딩(이기범)","서울특별시 강남구 개포로 240",commercial,6,강남소방서,02-3445-0119
"우덕빌딩","서울특별시 강남구 개포로 223",commercial,6,강남소방서,02-3445-0119
"백암빌딩","서울특별시 강남구 개포로 207",commercial,6,강남소방서,02-3445-0119
"광림빌딩","서울특별시 강남구 개포로22길 15",commercial,5,강남소방서,02-3445-0119
"바이오페이스(인바디빌딩)","서울특별시 강남구 논현로2길 54",commercial,7,강남소방서,02-3445-0119
"경호빌딩","서울특별시 강남구 논현로8길 32-19",commercial,6,강남소방서,02-3445-0119
"개포3빌딩","서울특별시 강남구 개포로31길 3-12",commercial,3,강남소방서,02-3445-0119
"상화빌딩","서울특별시 강남구 개포로20길 20",commercial,6,강남소방서,02-3445-0119
"남강빌딩","서울특별시 강남구 개포로 251",commercial,5,강남소방서,02-3445-0119
"개포1빌딩","서울특별시 강남구 논현로 12",commercial,2,강남소방서,02-3445-0119
"우영빌딩","서울특별시 강남구 개포로22길 40",commercial,6,강남소방서,02-3445-0119
"초원교회(초원유치원)","서울특별시 강남구 논현로14길 17",commercial,2,강남소방서,02-3445-0119
"서원빌딩","서울특별시 강남구 개포로32길 7",commercial,5,강남소방서,02-3445-0119
"삼경빌딩","서울특별시 강남구 논현로10길 6",commercial,7,강남소방서,02-3445-0119
"내외빌딩","서울특별시 강남구 개포로15길 34",commercial,6,강남소방서,02-3445-0119
"위드21","서울특별시 강남구 개포로17길 13-5",commercial,6,강남소방서,02-3445-0119
"대치1단지상가","서울특별시 강남구 개포로109길 5",commercial,3,강남소방서,02-3445-0119
"강남종합사회복지관(석탑프라자)","서울특별시 강남구 개포로109길 5",commercial,3,강남소방서,02-3445-0119
"대치1단지아파트","서울특별시 강남구 개포로109길 5",residential,15,강남소방서,02-3445-0119
"대양빌딩","서울특별시 강남구 논현로8길 59",commercial,5,강남소방서,02-3445-0119
"성산빌딩","서울특별시 강남구 개포로22길 12",commercial,7,강남소방서,02-3445-0119
"우신빌딩","서울특별시 강남구 논현로 44",commercial,6,강남소방서,02-3445-0119
"동진건물","서울특별시 강남구 논현로 58",commercial,5,강남소방서,02-3445-0119
"강호빌딩","서울특별시 강남구 논현로8길 30",commercial,5,강남소방서,02-3445-0119
"채널빌딩","서울특별시 강남구 개포로28길 24",commercial,6,강남소방서,02-3445-0119
"양재빌딩","서울특별시 강남구 개포로 205",commercial,7,강남소방서,02-3445-0119
"국립국악중고등학교","서울특별시 강남구 개포로22길 65",commercial,5,강남소방서,02-3445-0119
"혜정빌딩","서울특별시 강남구 논현로 6",commercial,7,강남소방서,02-3445-0119
"신유빌딩","서울특별시 강남구 개포로26길 6",commercial,6,강남소방서,02-3445-0119
"창덕빌딩","서울특별시 강남구 개포로15길 17",commercial,6,강남소방서,02-3445-0119
"선모빌딩","서울특별시 강남구 개포로 241",commercial,7,강남소방서,02-3445-0119
"두이빌딩","서울특별시 강남구 논현로12길 19-3",commercial,6,강남소방서,02-3445-0119
"충의빌딩","서울특별시 강남구 개포로 210",commercial,6,강남소방서,02-3445-0119
"대청아파트(301동 대표동)","서울특별시 강남구 개포로109길 21",residential,15,강남소방서,02-3445-0119
"대진초등학교","서울특별시 강남구 개포로109길 74",commercial,4,강남소방서,02-3445-0119
"대성빌딩","서울특별시 강남구 논현로20길 4-35",commercial,6,강남소방서,02-3445-0119
"이삭빌딩","서울특별시 강남구 논현로 64",commercial,6,강남소방서,02-3445-0119
"대치2단지아파트","서울특별시 강남구 개포로109길 9",residential,15,강남소방서,02-3445-0119
"개포3동주민센터","서울특별시 강남구 개포로 607",commercial,3,강남소방서,02-3445-0119
"대치2단지상가","서울특별시 강남구 개포로109길 9",commercial,3,강남소방서,02-3445-0119
"하상장애인복지관","서울특별시 강남구 개포로 613",commercial,3,강남소방서,02-3445-0119
"개포동성당","서울특별시 강남구 선릉로4길 25",commercial,4,강남소방서,02-3445-0119
"광혜빌딩","서울특별시 강남구 개포로22길 6",commercial,5,강남소방서,02-3445-0119
"선린빌딩","서울특별시 강남구 논현로16길 14",commercial,5,강남소방서,02-3445-0119
"개포변전소","서울특별시 강남구 양재대로 580",commercial,3,강남소방서,02-3445-0119
"선광빌딩","서울특별시 강남구 개포로 250",commercial,5,강남소방서,02-3445-0119
"동성빌딩","서울특별시 강남구 논현로 70",commercial,6,강남소방서,02-3445-0119
"우림빌딩","서울특별시 강남구 논현로 68",commercial,5,강남소방서,02-3445-0119
"유림빌딩(라운지)","서울특별시 강남구 양재대로 333",commercial,5,강남소방서,02-3445-0119
"우신빌딩(한빛빌딩)","서울특별시 강남구 논현로8길 47",commercial,5,강남소방서,02-3445-0119
"코인빌딩(구.더블유에스엘인터)","서울특별시 강남구 논현로 74",commercial,6,강남소방서,02-3445-0119
"우창빌딩","서울특별시 강남구 개포로24길 6",commercial,6,강남소방서,02-3445-0119
"형지빌딩","서울특별시 강남구 개포로15길 32",commercial,6,강남소방서,02-3445-0119
"개포현대아파트","서울특별시 강남구 선릉로18길 12",residential,9,강남소방서,02-3445-0119
"개포현대6차아파트(구.현대포이아파트)","서울특별시 강남구 개포로15길 32-8",residential,8,강남소방서,02-3445-0119
"조일빌딩","서울특별시 강남구 논현로18길 21",commercial,5,강남소방서,02-3445-0119
"강남구민체육관","서울특별시 강남구 개포로28길 47",commercial,3,강남소방서,02-3445-0119
"개포실업빌딩 (구스피치학원(우정욱건물)","서울특별시 강남구 선릉로6길 19",commercial,4,강남소방서,02-3445-0119
"개포1230빌딩","서울특별시 강남구 논현로16길 11",commercial,5,강남소방서,02-3445-0119
"이손빌딩","서울특별시 강남구 논현로 84",commercial,8,강남소방서,02-3445-0119
"아택플러스","서울특별시 강남구 개포로20길 24-7",commercial,5,강남소방서,02-3445-0119
"서흥빌딩","서울특별시 강남구 논현로 8",commercial,6,강남소방서,02-3445-0119
"동서빌딩","서울특별시 강남구 개포로22길 80",commercial,7,강남소방서,02-3445-0119
"쌍용개포아파트","서울특별시 강남구 언주로 101",commercial,10,강남소방서,02-3445-0119
"풍양빌딩","서울특별시 강남구 개포로22길 26",commercial,5,강남소방서,02-3445-0119
"능인선원","서울특별시 강남구 양재대로 340",commercial,3,강남소방서,02-3445-0119
"석탑프라자(개포3동주민센터)","서울특별시 강남구 개포로 615",commercial,9,강남소방서,02-3445-0119
"남현빌딩","서울특별시 강남구 논현로 52",commercial,4,강남소방서,02-3445-0119
"개포렉스힐","서울특별시 강남구 선릉로4길 19",commercial,7,강남소방서,02-3445-0119
"지성빌딩","서울특별시 강남구 논현로 80",commercial,6,강남소방서,02-3445-0119
"세영빌딩","서울특별시 강남구 논현로 62",commercial,5,강남소방서,02-3445-0119
"더샵그린아파트","서울특별시 강남구 논현로4길 28",residential,10,강남소방서,02-3445-0119
"오성빌딩(준빌딩)","서울특별시 강남구 선릉로 38",commercial,7,강남소방서,02-3445-0119
"석천빌딩","서울특별시 강남구 선릉로16길 6",commercial,5,강남소방서,02-3445-0119
"청우빌딩","서울특별시 강남구 개포로22길 32",commercial,6,강남소방서,02-3445-0119
"제이빌딩","서울특별시 강남구 개포로21길 5",commercial,6,강남소방서,02-3445-0119
"금만빌딩","서울특별시 강남구 논현로2길 20",commercial,6,강남소방서,02-3445-0119
"극동빌딩","서울특별시 강남구 논현로 4",commercial,7,강남소방서,02-3445-0119
"대청타워","서울특별시 강남구 개포로 623",commercial,26,강남소방서,02-3445-0119
"우선빌딩","서울특별시 강남구 개포로25길 7",commercial,5,강남소방서,02-3445-0119
"경빌딩","서울특별시 강남구 개포로22길 78",commercial,4,강남소방서,02-3445-0119
"포이현대빌라트","서울특별시 강남구 논현로4길 50",residential,8,강남소방서,02-3445-0119
"천주교일원동성당","서울특별시 강남구 개포로109길 38",commercial,5,강남소방서,02-3445-0119
"파워엠빌딩(구.남흥빌딩)","서울특별시 강남구 개포로 211",commercial,7,강남소방서,02-3445-0119
"녹경타운","서울특별시 강남구 논현로12길 25",commercial,5,강남소방서,02-3445-0119
"수서경찰서","서울특별시 강남구 개포로 617",commercial,5,강남소방서,02-3445-0119
"구룡터널","서울특별시 강남구 언주로 3",commercial,2,강남소방서,02-3445-0119
"대청프라자","서울특별시 강남구 개포로109길 34",commercial,5,강남소방서,02-3445-0119
"로뎀빌딩","서울특별시 강남구 논현로12길 33",commercial,3,강남소방서,02-3445-0119
"서울주택도시공사","서울특별시 강남구 개포로 621",commercial,16,강남소방서,02-3445-0119
"팜클빌딩","서울특별시 강남구 선릉로10길 18-7",commercial,3,강남소방서,02-3445-0119
"광수빌딩","서울특별시 강남구 개포로 244",commercial,6,강남소방서,02-3445-0119
"강남구가족센터","서울특별시 강남구 개포로 617-8",commercial,4,강남소방서,02-3445-0119
"금화빌딩","서울특별시 강남구 개포로 206",commercial,6,강남소방서,02-3445-0119
"강남지역자활센터","서울특별시 강남구 개포로38길 12",commercial,3,강남소방서,02-3445-0119
"개포1동 주민센터","서울특별시 강남구 개포로 303",commercial,2,강남소방서,02-3445-0119
"사이넷빌딩","서울특별시 강남구 개포로 208",commercial,8,강남소방서,02-3445-0119
"경인빌딩","서울특별시 강남구 개포로17길 26",commercial,4,강남소방서,02-3445-0119
"아람손프라자","서울특별시 강남구 논현로2길 22",commercial,5,강남소방서,02-3445-0119
"동혁빌딩","서울특별시 강남구 개포로22길 86",commercial,6,강남소방서,02-3445-0119
"글로리빌딩","서울특별시 강남구 논현로 42",commercial,6,강남소방서,02-3445-0119
"강남우체국","서울특별시 강남구 개포로 619",commercial,13,강남소방서,02-3445-0119
"진영빌딩","서울특별시 강남구 개포로22길 20",commercial,4,강남소방서,02-3445-0119
"정준유통","서울특별시 강남구 논현로12길 16",commercial,2,강남소방서,02-3445-0119
"대성빌딩","서울특별시 강남구 논현로16길 25",commercial,6,강남소방서,02-3445-0119
"리더스아파트","서울특별시 강남구 논현로2길 62",residential,6,강남소방서,02-3445-0119
"에버그린빌딩","서울특별시 강남구 선릉로8길 5",residential,6,강남소방서,02-3445-0119
"개포상지리츠빌","서울특별시 강남구 개포로 405",residential,11,강남소방서,02-3445-0119
"연아빌딩","서울특별시 강남구 논현로 54",commercial,5,강남소방서,02-3445-0119
"다우빌딩","서울특별시 강남구 논현로 38",commercial,6,강남소방서,02-3445-0119
"골든빌오피스텔","서울특별시 강남구 개포로 213",commercial,6,강남소방서,02-3445-0119
"금마빌딩","서울특별시 강남구 논현로8길 10-8",commercial,5,강남소방서,02-3445-0119
"Avenue28빌딩","서울특별시 강남구 논현로 28",commercial,6,강남소방서,02-3445-0119
"개포동역(분당선)","서울특별시 강남구 개포로 420",commercial,1,강남소방서,02-3445-0119
"연우빌딩","서울특별시 강남구 개포로22길 46",commercial,5,강남소방서,02-3445-0119
"서울농아교회","서울특별시 강남구 개포로15길 21",commercial,5,강남소방서,02-3445-0119
"정원빌딩","서울특별시 강남구 개포로 229",commercial,6,강남소방서,02-3445-0119
"서호빌딩","서울특별시 강남구 개포로 209",commercial,6,강남소방서,02-3445-0119
"세봉빌딩","서울특별시 강남구 논현로8길 5",commercial,5,강남소방서,02-3445-0119
"썬테크빌딩","서울특별시 강남구 논현로 34",commercial,6,강남소방서,02-3445-0119
"리치타운아파트","서울특별시 강남구 개포로28길 28",residential,6,강남소방서,02-3445-0119
"정빌딩","서울특별시 강남구 개포로22길 5",commercial,6,강남소방서,02-3445-0119
"개포자이아파트","서울특별시 강남구 개포로109길 69",residential,22,강남소방서,02-3445-0119
"구룡역(분당선)","서울특별시 강남구 개포로 403",commercial,1,강남소방서,02-3445-0119
"씨티셀즈빌딩","서울특별시 강남구 개포로 216",commercial,7,강남소방서,02-3445-0119
"와세다","서울특별시 강남구 논현로 30",commercial,5,강남소방서,02-3445-0119
"KSD노엘빌딩","서울특별시 강남구 논현로 88",commercial,7,강남소방서,02-3445-0119
"두로빌딩","서울특별시 강남구 개포로22길 27",commercial,4,강남소방서,02-3445-0119
"BK빌딩(구.에덴빌딩)","서울특별시 강남구 논현로18길 10-20",commercial,6,강남소방서,02-3445-0119
"진성빌딩","서울특별시 강남구 개포로 252",commercial,6,강남소방서,02-3445-0119
"대경빌딩","서울특별시 강남구 논현로12길 19-4",commercial,4,강남소방서,02-3445-0119
"아원디오빌","서울특별시 강남구 논현로18길 10-10",commercial,6,강남소방서,02-3445-0119
"센트럴빌딩","서울특별시 강남구 개포로22길 74",commercial,6,강남소방서,02-3445-0119
"주원빌딩","서울특별시 강남구 논현로8길 12",commercial,5,강남소방서,02-3445-0119
"지수빌딩","서울특별시 강남구 논현로 18",commercial,6,강남소방서,02-3445-0119
"충만빌딩","서울특별시 강남구 논현로18길 10-17",commercial,5,강남소방서,02-3445-0119
"거호산업사옥","서울특별시 강남구 논현로20길 14",commercial,6,강남소방서,02-3445-0119
"우도빌딩","서울특별시 강남구 논현로12길 19-6",commercial,6,강남소방서,02-3445-0119
"영재빌딩","서울특별시 강남구 논현로10길 16",commercial,6,강남소방서,02-3445-0119
"네비스빌딩","서울특별시 강남구 개포로 221",commercial,5,강남소방서,02-3445-0119
"신승빌딩","서울특별시 강남구 개포로22길 43",commercial,3,강남소방서,02-3445-0119
"둘둘치킨","서울특별시 강남구 논현로10길 12",commercial,5,강남소방서,02-3445-0119
"이룸빌딩","서울특별시 강남구 개포로15길 38",commercial,5,강남소방서,02-3445-0119
"개포동공원공영주차장","서울특별시 강남구 개포로 509",industrial,1,강남소방서,02-3445-0119
"우찬현대아파트102동","서울특별시 강남구 개포로31길 9-5",residential,6,강남소방서,02-3445-0119
"우찬현대아파트101동","서울특별시 강남구 개포로31길 3-12",residential,6,강남소방서,02-3445-0119
"개포동 1210-4건물","서울특별시 강남구 개포로36길 14",commercial,3,강남소방서,02-3445-0119
"문화빌딩","서울특별시 강남구 논현로 98",commercial,6,강남소방서,02-3445-0119
"우찬현대아파트(103동)","서울특별시 강남구 개포로31길 9-9",residential,5,강남소방서,02-3445-0119
"한영빌딩","서울특별시 강남구 개포로 235",commercial,6,강남소방서,02-3445-0119
"보성빌딩","서울특별시 강남구 논현로 90",commercial,6,강남소방서,02-3445-0119
"인(IN)빌딩(인터메츠사옥)","서울특별시 강남구 논현로 22",commercial,6,강남소방서,02-3445-0119
"제일빌딩","서울특별시 강남구 논현로18길 11",commercial,6,강남소방서,02-3445-0119
"메디시스빌딩 구)리얼피엠","서울특별시 강남구 개포로 265",commercial,5,강남소방서,02-3445-0119
"아이뜰어린이집","서울특별시 강남구 개포로22길 39-11",commercial,4,강남소방서,02-3445-0119
"정진빌딩","서울특별시 강남구 개포로15길 3-4",commercial,4,강남소방서,02-3445-0119
"이화트론빌딩","서울특별시 강남구 개포로 256",commercial,6,강남소방서,02-3445-0119
"동우빌딩","서울특별시 강남구 개포로 238",commercial,6,강남소방서,02-3445-0119
"정산빌딩","서울특별시 강남구 개포로22길 98",commercial,4,강남소방서,02-3445-0119
"개포빌딩","서울특별시 강남구 논현로10길 18",commercial,4,강남소방서,02-3445-0119
"강희경 건물","서울특별시 강남구 개포로 222",commercial,5,강남소방서,02-3445-0119
"JS빌딩","서울특별시 강남구 선릉로 26",commercial,8,강남소방서,02-3445-0119
"청암빌딩","서울특별시 강남구 논현로12길 8",commercial,4,강남소방서,02-3445-0119
"강남구장애인문화복지관","서울특별시 강남구 개포로 605",commercial,4,강남소방서,02-3445-0119
"대청역 공영주차장","서울특별시 강남구 개포로 623-1",industrial,3,강남소방서,02-3445-0119
"개포2동주민센터","서울특별시 강남구 개포로 511",commercial,4,강남소방서,02-3445-0119
"럭키하우스","서울특별시 강남구 논현로18길 10-18",commercial,6,강남소방서,02-3445-0119
"일영빌딩","서울특별시 강남구 선릉로 28",commercial,8,강남소방서,02-3445-0119
"친환경식품유통센터","서울특별시 강남구 논현로10길 29",commercial,5,강남소방서,02-3445-0119
"세영빌딩","서울특별시 강남구 논현로10길 20",commercial,6,강남소방서,02-3445-0119
"한울안빌리지(원불교서울교구)","서울특별시 강남구 논현로 10",commercial,7,강남소방서,02-3445-0119
"장원빌라(2개동)","서울특별시 강남구 개포로22길 36",residential,6,강남소방서,02-3445-0119
"화남하우스","서울특별시 강남구 논현로12길 6",commercial,5,강남소방서,02-3445-0119
"까사델리아","서울특별시 강남구 개포로22길 39-6",commercial,4,강남소방서,02-3445-0119
"초원교회 교육관","서울특별시 강남구 논현로16길 14-11",commercial,6,강남소방서,02-3445-0119
"개포동아우디서비스센터","서울특별시 강남구 논현로18길 9",industrial,6,강남소방서,02-3445-0119
"개포동1229-16건물","서울특별시 강남구 논현로20길 4-36",commercial,5,강남소방서,02-3445-0119
"김태완건물","서울특별시 강남구 선릉로10길 8",commercial,5,강남소방서,02-3445-0119
"평안빌딩","서울특별시 강남구 논현로10길 8",commercial,6,강남소방서,02-3445-0119
"HC건물","서울특별시 강남구 논현로6길 11",commercial,5,강남소방서,02-3445-0119
"데님관광호텔","서울특별시 강남구 논현로 66",commercial,8,강남소방서,02-3445-0119
"호텔컬리넌개포점","서울특별시 강남구 논현로 74-1",commercial,8,강남소방서,02-3445-0119
"메트하임오피스텔","서울특별시 강남구 개포로 504",commercial,17,강남소방서,02-3445-0119
"동원어린이집","서울특별시 강남구 개포로15길 29",commercial,5,강남소방서,02-3445-0119
"소우주요양병원","서울특별시 강남구 논현로16길 15",commercial,4,강남소방서,02-3445-0119
"노블리스 주 빌딩","서울특별시 강남구 개포로22길 72",commercial,8,강남소방서,02-3445-0119
"하우징허브럭스((주)이명건설건물)","서울특별시 강남구 논현로 72",commercial,7,강남소방서,02-3445-0119
"유성빌딩","서울특별시 강남구 논현로6길 10-10",commercial,5,강남소방서,02-3445-0119
"아택본빌딩","서울특별시 강남구 개포로21길 6",commercial,6,강남소방서,02-3445-0119
"까사밀라","서울특별시 강남구 개포로21길 10",commercial,5,강남소방서,02-3445-0119
"320세대)"","320세대)"",commercial,1,강남소방서,02-3445-0119
"세진에너지㈜개포주유소","서울특별시 강남구 양재대로 339",commercial,5,강남소방서,02-3445-0119
"케이제이컴퍼니","서울특별시 강남구 논현로14길 18",commercial,5,강남소방서,02-3445-0119
"YH빌리지","서울특별시 강남구 논현로20길 22",commercial,6,강남소방서,02-3445-0119
"아택원빌딩","서울특별시 강남구 논현로18길 15",commercial,6,강남소방서,02-3445-0119
"골드캐슬","서울특별시 강남구 논현로2길 6",commercial,5,강남소방서,02-3445-0119
"개포래미안포레스트","서울특별시 강남구 개포로 264",residential,35,강남소방서,02-3445-0119
"대한예수교장로회 개포동교회","서울특별시 강남구 선릉로18길 8",commercial,5,강남소방서,02-3445-0119
"CCRU오피스텔","서울특별시 강남구 논현로 78",commercial,8,강남소방서,02-3445-0119
"비버리하임","서울특별시 강남구 논현로12길 14",residential,6,강남소방서,02-3445-0119
"예가풍경채2차","서울특별시 강남구 개포로24길 32",residential,6,강남소방서,02-3445-0119
"스카이빌","서울특별시 강남구 논현로20길 4-17",residential,6,강남소방서,02-3445-0119
"예가풍경채3차","서울특별시 강남구 논현로14길 14",residential,6,강남소방서,02-3445-0119
"강남힐링센터 개포지점","서울특별시 강남구 삼성로3길 39",commercial,1,강남소방서,02-3445-0119
"아택서원빌딩","서울특별시 강남구 논현로20길 4-15",commercial,6,강남소방서,02-3445-0119
